origin destination type t_cs t_pt t_walking t_bike t_wait
1  2   CS  10   0   5.95  0  0
1  2   PT   0  10  12.86  0  6
1  2   B   0   0   0   9.38   0
1  3   CS  12   0   5.95  0  0
1  3   PT   0  16  11.31  0 10
1  3   B   0   0   0  12.38   0
1  4   CS  16   0   5.95  0  0
1  4   PT   0  12  19.64  0  8
1  4   B   0   0   0  18.75   0
1  5   CS  18   0   5.95  0  0
1  5   PT   0   9  17.26  0 3
1  5   B   0   0   0  16.88  0 
1  6   CS  23   0   5.95  0  0
1  6   PT   0  12  18.45  0 3
1  6   B   0   0   0  24.38  0 
1  7  CS  11   0   5.95  0  0
1  7   PT   0   5  23.81  0  5
1  7   B   0   0   0  13.50   0
1  8   CS  17   0   5.95  0  0
1  8   PT   0   9  19.05  0 10
1  8   B   0   0   0  22.50   0
1  9   CS  13   0   5.95  0  0
1  9   PT   0  20  13.69  0  9
1  9   B   0   0   0  13.50   0
1  10   CS   7   0   5.95  0  0
1  10  PT   0  10   5.48  0  7
1  10   B   0   0   0   6.75   0
2  3   CS   8   0   5.95  0  0
2  3   PT   0   4   7.62  0  5
2  3   B   0   0   0   7.88   0
2  4   CS  14   0   5.95  0  0
2  4   PT   0  3  19.64  0 3
2  4   B   0   0   0  14.25   0
2  5   CS  15   0   5.95  0  0
2  5   PT   0  15   7.62  0  4
2  5   B   0   0   0  12.75  0 
2  6   CS  21   0   5.95  0  0
2  6   PT   0  11  10.36  0 3
2  6   B   0   0   0  21.38  0 
2  7   CS  18   0   5.95  0  0
2  7   PT   0  13  13.69  0  6
2  7   B   0   0   0  21.75   0
2  8   CS  22   0   5.95  0  0
2  8   PT   0  31  2.38  0  8
2  8   B   0   0   0  24.38   0
2  9   CS  16   0   5.95  0  0
2  9   PT   0  20   4.05  0  8
2  9   B   0   0   0  15.38   0
2  10   CS   9   0   5.95  0  0
2  10   PT   0  1  17.26  0 3
2  10   B   0   0   0   7.50  0 
3  4   CS   8   0   5.95  0  0
3  4   PT   0   9  11.90  0  6
3  4   B   0   0   0   6.75   0
3  5   CS  13   0   5.95  0  0
3  5   PT   0   4  14.29  0  4
3  5   B   0   0   0  12.00  0 
3  6   CS  19   0   5.95  0  0
3  6   PT   0   9  16.07  0  4
3  6   B   0   0   0  18.00   0
3  7   CS  21   0   5.95  0  0
3  7   PT   0  19  11.31  0 10
3  7   B   0   0   0  17.63   0
3  8   CS  25   0   5.95  0  0
3  8   PT   0  11  12.50  0 10
3  8   B   0   0   0  28.50   0
3  9   CS  20   0   5.95  0  0
3  9   PT   0  20  13.10  0  6
3  9   B   0   0   0  19.50  0 
3  10   CS  12   0   5.95  0  0
3  10   PT   0  13  10.83  0 10
3  10   B   0   0   0  11.63   0
4  5   CS  12   0   5.95  0  0
4  5   PT   0   6  11.90  0  4
4  5   B   0   0   0  10.50   0
4  6   CS  15   0   5.95  0  0
4  6   PT   0  11  13.69  0  4
4  6   B   0   0   0  13.50   0
4  7   CS  27   0   5.95  0  0
4  7   PT   0  15  19.64  0  8
4  7   B   0   0   0  27.38   0
4  8   CS  22   0   5.95  0  0
4  8   PT   0  12  10.12  0 10
4  8   B   0   0   0  27.38   0
4  9   CS  22   0   5.95  0  0
4  9   PT   0  16  17.26  0 10
4  9   B   0   0   0  20.63   0
4 10   CS  17   0   5.95  0  0
4 10   PT   0  10  16.07  0 10
4 10   B   0   0   0  18.00  0 
5  6   CS  13   0   5.95  0  0
5  6   PT   0   5  10.12  0  4
5  6   B   0   0   0   9.38   0
5  7   CS  21   0   5.95  0  0
5  7   PT   0  13  17.26  0  5
5  7   B   0   0   0  19.88   0
5  8   CS  19   0   5.95  0  0
5  8   PT   0   6   6.55  0 10
5  8   B   0   0   0  23.25   0
5  9   CS  18   0   5.95  0  0
5  9   PT   0  10  12.50  0  6
5  9   B   0   0   0  15.38   0
5  10   CS  15   0   5.95  0  0
5  10   PT   0   8  12.50  0 3
5  10   B   0   0   0  10.50   0
6  7   CS  18   0   5.95  0  0
6  7   PT   0  11  10.95  0  8
6  7   B   0   0   0  20.63   0
6  8   CS  13   0   5.95  0  0
6  8   PT   0  15   4.76  0  9
6  8   B   0   0   0  13.50   0
6  9   CS  15   0   5.95  0  0
6  9   PT   0   4  16.31  0 3
6  9   B   0   0   0  16.88   0
6  10   CS  19   0   5.95  0  0
6  10   PT   0   9  13.33  0 3
6  10   B   0   0   0  18.38  0 
7  8   CS  11   0   5.95  0  0
7  8   PT   0  12  11.31  0  6
7  8   B   0   0   0  13.13   0
7  9   CS   9   0   5.95  0  0
7  9   PT   0   6  14.29  0 3
7  9    B   0   0   0  21.6 0
7  10   CS   9   0   5.95  0  0
7  10   PT   0  12   6.90  0  9
7  10   B   0   0   0  10.88  0 
8  9   CS   8   0   5.95  0  0
8  9   PT   0  11   7.74   0  8
8  9   B   0   0   0  10.88   0
8  10   CS  13   0   5.95  0  0
8  10   PT   0   7  12.50  0 10
8  10   B   0   0   0  17.63   0
9  10   CS   8   0   5.95  0  0
9  10   PT   0   5  11.07  0  5
9  10   B   0   0   0   8.25  0 
